# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 4.956649321414046,1.8912535040000005,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 4.987237481414047,1.8973711360000005,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 5.017760361414047,1.9034757120000005,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 5.048221801414048,1.9095680000000006,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 5.078625641414048,1.9156487680000005,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 5.108975721414048,1.9217187840000005,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 5.139275881414047,1.9277788160000005,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 5.169529961414048,1.9338296320000006,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 5.1997418014140475,1.9398720000000005,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 5.229915241414048,1.9459066880000007,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 5.260054121414048,1.9519344640000007,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 5.290162281414048,1.9579560960000006,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 5.320243561414047,1.9639723520000005,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 5.350301801414048,1.9699840000000006,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 5.380340841414047,1.9759918080000005,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 5.410364521414048,1.9819965440000007,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 5.4403766814140475,1.9879989760000005,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 5.470381161414048,1.9939998720000007,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
